"Time","kWh.first"
2022-10-29 00:00:00,21583
2022-10-29 01:00:00,21608
2022-10-29 02:00:00,21633
2022-10-29 03:00:00,21657
2022-10-29 04:00:00,21680
2022-10-29 05:00:00,21704
2022-10-29 06:00:00,21729
2022-10-29 07:00:00,21752
2022-10-29 08:00:00,21776
2022-10-29 09:00:00,21801
2022-10-29 10:00:00,21827
2022-10-29 11:00:00,21852
2022-10-29 12:00:00,21880
2022-10-29 13:00:00,21930
2022-10-29 14:00:00,21971
2022-10-29 15:00:00,22002
2022-10-29 16:00:00,22034
2022-10-29 17:00:00,22063
2022-10-29 18:00:00,22091
2022-10-29 19:00:00,22114
2022-10-29 20:00:00,22138
2022-10-29 21:00:00,22162
2022-10-29 22:00:00,22185
2022-10-29 23:00:00,22209

