"Time","kWh"
2022-10-10 18:01:45,-151732604633088.00
2022-10-10 18:09:47,0.00
2022-10-10 18:13:47,0.00
2022-10-10 18:15:51,0.00
2022-10-10 18:18:54,0.00
2022-10-10 18:28:26,0.00
2022-10-10 18:39:59,2.69
2022-10-10 18:52:06,2.69
2022-10-10 19:01:11,2.69
2022-10-10 19:16:46,2.69
2022-10-10 19:20:58,2.69
2022-10-10 19:53:39,2.69
2022-10-10 21:35:06,2.70
2022-10-11 00:59:07,2.71
2022-10-11 04:23:07,2.72
2022-10-11 07:47:38,2.73
2022-10-11 09:47:38,2.79
2022-10-11 09:48:08,2.84
2022-10-11 09:48:38,2.90
2022-10-11 09:49:08,2.95
2022-10-11 09:49:38,2.96
2022-10-11 09:50:08,2.99
2022-10-11 09:50:38,3.04
2022-10-11 09:51:38,3.07
2022-10-11 09:52:08,3.11
2022-10-11 09:52:38,3.14
2022-10-11 09:53:09,3.18
2022-10-11 09:53:38,3.22
2022-10-11 09:54:08,3.26
2022-10-11 09:54:38,3.28
2022-10-11 09:55:08,3.32
2022-10-11 09:55:38,3.36
2022-10-11 09:56:09,3.39
2022-10-11 09:56:39,3.42
2022-10-11 09:57:09,3.44
2022-10-11 09:57:38,3.47
2022-10-11 09:58:09,3.50
2022-10-11 09:58:38,3.52
2022-10-11 09:59:09,3.55
2022-10-11 09:59:38,3.57
2022-10-11 10:00:08,3.59
2022-10-11 10:00:38,3.61
2022-10-11 10:01:08,3.63
2022-10-11 10:01:39,3.66
2022-10-11 10:02:08,3.68
2022-10-11 10:02:38,3.70
2022-10-11 10:03:08,3.72
2022-10-11 10:03:38,3.74
2022-10-11 10:04:09,3.77
2022-10-11 10:06:38,3.79
2022-10-11 10:14:08,3.81
2022-10-11 10:21:38,3.83
2022-10-11 10:26:38,3.85
2022-10-11 10:27:08,3.87
2022-10-11 10:27:38,3.90
2022-10-11 10:28:09,3.92
2022-10-11 10:28:38,3.93
2022-10-11 10:30:08,3.95
2022-10-11 10:38:09,3.97
2022-10-11 10:45:39,3.99
2022-10-11 10:47:08,4.01
2022-10-11 10:47:38,4.04
2022-10-11 10:48:09,4.06
2022-10-11 10:48:39,4.08
2022-10-11 10:49:09,4.09
2022-10-11 10:53:39,4.11
2022-10-11 11:00:38,4.13
2022-10-11 11:07:39,4.14
2022-10-11 11:08:09,4.17
2022-10-11 11:13:39,4.19
2022-10-11 11:14:09,4.21
2022-10-11 11:14:38,4.23
2022-10-11 11:15:09,4.25
2022-10-11 11:15:38,4.27
2022-10-11 11:16:08,4.29
2022-10-11 11:22:09,4.30
2022-10-11 11:22:39,4.31
2022-10-11 11:30:39,4.32
2022-10-11 11:33:39,4.34
