"Time","kWh"
2022-10-10 18:18:55,0.00
2022-10-10 18:28:27,0.00
2022-10-10 18:40:01,0.00
2022-10-10 18:52:09,0.00
2022-10-10 19:01:14,0.00
2022-10-10 19:16:50,0.00
2022-10-10 19:21:01,0.00
2022-10-10 19:53:42,0.00
2022-10-11 15:14:43,0.05
2022-10-11 15:15:13,0.39
2022-10-11 15:15:43,0.73
2022-10-11 15:16:13,1.06
2022-10-11 15:16:43,1.39
2022-10-11 15:17:12,1.64
2022-10-11 15:17:43,1.76
2022-10-11 15:18:12,1.83
2022-10-11 15:18:42,1.98
2022-10-11 15:19:12,2.00
2022-10-11 15:19:42,2.13
2022-10-11 15:20:13,2.24
2022-10-11 15:20:42,2.26
2022-10-11 15:21:13,2.33
2022-10-11 15:21:43,2.44
2022-10-11 15:22:13,2.45
2022-10-11 15:23:13,2.46
2022-10-11 15:23:43,2.58
2022-10-11 15:24:12,2.89
2022-10-11 15:24:43,3.05
2022-10-11 15:25:42,3.30
2022-10-11 15:26:42,3.43
2022-10-11 15:27:13,3.47
2022-10-11 15:27:43,3.57
2022-10-11 15:28:13,3.66
2022-10-11 15:28:43,3.69
2022-10-11 15:29:13,3.82
2022-10-11 15:30:13,3.94
2022-10-11 15:30:42,3.95
2022-10-11 15:31:12,4.06
2022-10-11 15:31:42,4.07
2022-10-11 15:32:12,4.18
2022-10-11 15:33:13,4.31
2022-10-11 15:34:13,4.43
2022-10-11 15:35:13,4.54
2022-10-11 15:35:42,4.57
2022-10-11 15:36:13,4.65
2022-10-11 15:36:43,4.73
2022-10-11 15:37:12,4.75
2022-10-11 15:37:43,4.87
2022-10-11 15:38:42,4.98
2022-10-11 15:39:12,5.02
2022-10-11 15:40:12,5.03
2022-10-11 15:40:42,5.11
2022-10-11 17:07:13,5.39
2022-10-11 17:07:43,5.73
2022-10-11 17:08:13,6.04
2022-10-11 17:08:43,6.05
2022-10-11 17:09:13,6.35
2022-10-11 17:09:43,6.69
2022-10-11 17:10:13,6.80
2022-10-11 17:10:43,7.01
2022-10-11 17:11:13,7.20
2022-10-11 17:11:43,7.22
2022-10-11 17:12:13,7.38
2022-10-11 17:13:13,7.52
2022-10-11 17:13:43,7.60
2022-10-11 17:14:13,7.65
2022-10-11 17:14:43,7.80
2022-10-11 17:15:13,7.81
2022-10-11 17:15:43,7.93
2022-10-11 17:16:13,7.96
2022-10-11 17:16:43,8.06
2022-10-11 17:17:13,8.17
2022-10-11 17:17:43,8.18
2022-10-11 17:18:13,8.30
2022-10-11 17:19:13,8.43
2022-10-11 17:20:13,8.53
2022-10-11 17:20:43,8.60
2022-10-11 17:21:13,8.62
2022-10-11 17:30:13,8.76
2022-10-11 17:30:43,8.95
2022-10-11 17:31:43,8.96
2022-10-11 17:32:13,9.00
2022-10-11 17:32:43,9.03
2022-10-11 17:33:13,9.04
2022-10-11 17:33:43,9.11
2022-10-11 17:34:43,9.14
2022-10-11 17:35:13,9.19
2022-10-11 17:36:13,9.25
2022-10-11 17:36:43,9.26
2022-10-11 17:37:43,9.33
2022-10-11 17:38:13,9.34
2022-10-11 17:39:13,9.38
2022-10-11 17:39:43,9.41
2022-10-11 17:40:43,9.42
2022-10-11 17:41:13,9.48
2022-10-11 17:41:43,9.49
2022-10-11 17:42:43,9.55
2022-10-11 17:43:13,9.56
2022-10-11 17:44:13,9.60
2022-10-11 17:44:43,9.63
2022-10-11 17:45:43,9.64
2022-10-11 17:46:13,9.70
2022-10-11 17:47:13,9.71
2022-10-11 17:47:43,9.77
2022-10-11 17:49:43,9.83
2022-10-11 17:50:13,9.84
2022-10-11 17:51:13,9.90
2022-10-11 17:51:43,9.91
2022-10-11 17:52:43,9.97
2022-10-11 17:53:13,9.98
2022-10-11 17:54:43,10.04
2022-10-11 17:55:43,10.05
2022-10-11 17:56:13,10.12
2022-10-11 17:57:43,10.13
2022-10-11 17:58:13,10.19
2022-10-11 17:58:43,10.20
2022-10-11 17:59:43,10.23
2022-10-11 18:00:13,10.27
2022-10-11 18:01:13,10.28
2022-10-11 18:01:43,10.34
2022-10-11 18:02:43,10.35
2022-10-11 18:03:13,10.40
2022-10-11 18:04:13,10.41
2022-10-11 18:04:43,10.47
2022-10-11 18:06:13,10.48
2022-10-11 18:06:43,10.54
2022-10-11 18:08:13,10.58
2022-10-11 18:08:43,10.61
2022-10-11 18:10:13,10.68
2022-10-11 18:11:43,10.74
2022-10-11 18:12:43,10.75
2022-10-11 18:13:13,10.79
2022-10-11 18:13:43,10.81
2022-10-11 18:14:13,10.82
2022-10-11 18:15:13,10.88
2022-10-11 18:16:13,10.89
2022-10-11 18:16:43,10.94
2022-10-11 18:17:13,10.96
2022-10-11 18:18:13,11.15
2022-10-11 18:19:43,11.16
2022-10-11 18:20:43,11.17
2022-10-11 18:21:43,11.23
2022-10-11 18:22:13,11.24
2022-10-11 18:23:13,11.25
2022-10-11 18:23:43,11.31
2022-10-11 18:24:43,11.32
2022-10-11 18:25:13,11.38
2022-10-11 18:25:43,11.39
2022-10-11 18:27:13,11.45
2022-10-11 18:27:43,11.46
2022-10-11 18:28:43,11.47
2022-10-11 18:29:13,11.54
2022-10-11 18:32:13,11.55
2022-10-11 18:37:43,11.56
2022-10-11 18:43:13,11.57
2022-10-11 18:48:43,11.58
2022-10-11 18:53:43,11.59
2022-10-11 18:59:43,11.60
2022-10-11 19:01:13,11.75
2022-10-11 19:01:43,11.87
2022-10-11 19:02:43,11.88
2022-10-11 19:03:13,11.94
2022-10-11 19:03:43,12.01
2022-10-11 19:04:13,12.02
2022-10-11 19:05:13,12.09
2022-10-11 19:05:43,12.10
2022-10-11 19:06:13,12.16
2022-10-11 19:07:13,12.17
2022-10-11 19:07:43,12.23
2022-10-11 19:08:13,12.24
2022-10-11 19:09:13,12.25
2022-10-11 19:09:43,12.26
2022-10-11 19:10:13,12.31
2022-10-11 19:10:43,12.32
2022-10-11 19:11:43,12.37
2022-10-11 19:12:43,12.38
2022-10-11 19:13:43,12.39
2022-10-11 19:14:13,12.40
2022-10-11 19:14:43,12.45
2022-10-11 19:15:43,12.46
2022-10-11 19:16:43,12.47
2022-10-11 19:17:13,12.48
2022-10-11 19:18:13,12.53
2022-10-11 19:18:43,12.54
2022-10-11 19:19:43,12.55
2022-10-11 19:20:43,12.56
2022-10-11 19:22:13,12.61
2022-10-11 19:22:43,12.62
2022-10-11 19:23:43,12.63
2022-10-11 19:24:13,12.64
2022-10-11 19:25:13,12.65
2022-10-11 19:26:13,12.66
2022-10-11 19:27:13,12.67
2022-10-11 19:27:43,12.68
2022-10-11 19:28:43,12.69
2022-10-11 19:29:43,12.70
2022-10-11 19:31:43,12.71
2022-10-11 19:34:59,12.72
2022-10-11 19:38:56,12.73
2022-10-11 19:41:26,12.87
2022-10-11 19:41:56,12.88
2022-10-11 19:42:56,12.89
2022-10-11 19:43:56,12.90
2022-10-11 19:44:57,12.91
2022-10-11 19:45:26,12.92
2022-10-11 19:46:26,12.93
2022-10-11 19:47:56,12.94
2022-10-11 19:54:26,12.95
2022-10-11 20:00:26,12.96
2022-10-11 20:05:56,12.97
2022-10-11 20:11:56,12.98
2022-10-14 19:17:20,12.98
2022-10-18 12:58:28,12.98
2022-10-21 11:38:05,13.03
2022-10-21 11:38:35,13.36
2022-10-21 11:39:05,13.71
2022-10-21 11:39:35,14.03
2022-10-21 11:40:05,14.35
2022-10-21 11:40:35,14.60
2022-10-21 11:41:05,14.94
2022-10-21 11:41:35,15.27
2022-10-21 11:42:05,15.61
2022-10-21 11:42:35,15.73
2022-10-21 11:43:35,15.74
2022-10-21 11:46:34,15.75
2022-10-23 20:31:38,15.75
2022-10-27 10:00:48,15.81
2022-10-27 10:01:18,15.82
2022-10-27 10:01:48,15.85
2022-10-27 10:02:18,16.19
2022-10-27 10:02:48,16.52
2022-10-27 10:03:18,16.85
2022-10-27 10:03:48,17.19
2022-10-27 10:04:18,17.30
2022-10-27 10:04:48,17.52
2022-10-27 10:05:18,17.57
2022-10-27 10:05:48,17.68
2022-10-27 10:06:18,17.85
2022-10-27 10:06:48,17.89
2022-10-27 10:07:18,17.95
2022-10-27 10:07:48,18.08
2022-10-27 10:08:18,18.09
2022-10-27 10:08:48,18.21
2022-10-27 10:09:18,18.26
2022-10-27 10:09:48,18.33
2022-10-27 10:10:18,18.46
2022-10-27 10:11:18,18.54
2022-10-27 10:11:48,18.57
2022-10-27 10:12:18,18.65
